"age","api","pho","bel","lin","lgr","lam","lir","lst","lpi","pbd","bch",".row"
23,50,"RENT",1,"DEBTCONSOLIDATION","A",25,7.9,1,0.5,"N",3,55
25,50,"RENT",4,"HOMEIMPROVEMENT","A",25,5.99,1,0.5,"N",2,56
24,44,"RENT",2,"DEBTCONSOLIDATION","D",25,15.33,1,0.57,"N",2,57
23,50,"RENT",1,"VENTURE","B",25,11.83,1,0.5,"N",4,58
22,50.004,"RENT",0,"VENTURE","B",25,10.36,1,0.5,"N",2,59
22,50.004,"RENT",3,"VENTURE","C",25,12.23,1,0.5,"N",3,60
22,52,"RENT",2,"EDUCATION","B",25,11.11,1,0.48,"N",4,61
23,13.2,"OWN",3,"DEBTCONSOLIDATION","A",4.95,7.9,1,0.38,"N",4,62
23,52,"RENT",1,"PERSONAL","C",25,13.22,1,0.48,"N",2,63
26,46,"RENT",2,"DEBTCONSOLIDATION","D",25,11.86,1,0.54,"N",4,64
26,47,"RENT",0,"HOMEIMPROVEMENT","D",25,15.28,1,0.53,"Y",2,65
23,47,"RENT",1,"VENTURE","E",25,17.93,1,0.53,"N",2,66
23,13.2,"MORTGAGE",2,"EDUCATION","B",1.4,9.25,0,0.11,"N",4,67
26,48,"RENT",5,"VENTURE","F",25,18.43,1,0.52,"N",2,68
24,55,"RENT",4,"HOMEIMPROVEMENT","D",25,11.11,1,0.45,"Y",4,69
23,55,"RENT",4,"EDUCATION","B",25,11.36,1,0.45,"N",3,70
23,55,"RENT",4,"EDUCATION","D",25,15.65,1,0.45,"Y",3,71
26,56,"RENT",4,"DEBTCONSOLIDATION","C",25,12.87,1,0.45,"N",2,72
23,13.92,"OWN",2,"PERSONAL","E",7.75,17.04,1,0.56,"N",4,73
24,60,"RENT",0,"PERSONAL","B",25,10.99,1,0.42,"N",3,74
24,60,"RENT",2,"PERSONAL","B",25,11.11,1,0.42,"N",3,75
26,54,"RENT",7,"DEBTCONSOLIDATION","D",25,14.83,1,0.46,"Y",2,76
23,14,"OWN",2,"DEBTCONSOLIDATION","D",4,11.11,1,0.29,"N",3,77
25,54,"RENT",3,"HOMEIMPROVEMENT","E",25,16.82,1,0.46,"N",4,78
23,60,"RENT",3,"PERSONAL","C",25,12.73,1,0.42,"N",3,79
22,56.4,"RENT",2,"HOMEIMPROVEMENT","D",25,14.96,1,0.44,"Y",3,80
24,66,"RENT",3,"EDUCATION","B",25,9.91,1,0.38,"N",2,81
24,60,"RENT",2,"DEBTCONSOLIDATION","E",25,11.11,1,0.42,"Y",2,82
23,67,"RENT",3,"EDUCATION","A",25,7.9,1,0.37,"N",4,83
24,67,"RENT",2,"VENTURE","B",25,10.99,1,0.37,"N",3,84
24,68,"RENT",5,"PERSONAL","D",25,14.09,1,0.37,"Y",3,85
22,14.4,"OWN",2,"MEDICAL","B",4,10.99,1,0.28,"N",3,86
24,70,"RENT",3,"EDUCATION","B",25,11.86,1,0.36,"N",4,87
24,14.4,"OWN",5,"PERSONAL","A",6,7.49,1,0.42,"N",3,88
26,66,"RENT",3,"HOMEIMPROVEMENT","B",25,11.58,1,0.38,"N",4,89
25,14.4,"OWN",7,"EDUCATION","A",5.375,5.79,1,0.37,"N",2,90
23,74,"RENT",3,"MEDICAL","B",25,10.36,1,0.34,"N",3,91
24,75,"RENT",4,"EDUCATION","B",25,10.25,1,0.33,"N",4,92
22,71,"RENT",1,"EDUCATION","D",25,15.95,1,0.35,"Y",4,93
23,78,"RENT",1,"VENTURE","B",25,10.62,1,0.32,"N",3,94
24,79.632,"RENT",0,"EDUCATION","C",25,13.35,1,0.31,"N",4,95
24,80,"RENT",6,"EDUCATION","A",25,6.62,1,0.31,"N",2,96
26,80,"RENT",5,"DEBTCONSOLIDATION","C",25,13.61,1,0.31,"N",4,97
25,81,"RENT",5,"DEBTCONSOLIDATION","A",25,7.29,1,0.31,"N",3,98
23,81.6,"RENT",1,"MEDICAL","B",25,11.36,1,0.31,"N",3,99
24,83,"RENT",5,"EDUCATION","B",25,11.12,0,0.3,"N",3,100
24,83,"RENT",5,"PERSONAL","D",25,12.92,0,0.3,"Y",3,101
23,14.4,"OWN",2,"HOMEIMPROVEMENT","E",4,16.7,1,0.28,"N",2,102
22,14.4,"OWN",0,"PERSONAL","B",2.1,11.14,0,0.15,"N",4,103
24,85,"RENT",5,"MEDICAL","B",25,10.62,0,0.29,"N",4,104
23,14.664,"MORTGAGE",0,"DEBTCONSOLIDATION","C",6,11.11,1,0.41,"N",4,105
24,75,"RENT",0,"VENTURE","E",25,14.7,1,0.33,"Y",3,106
23,66.215,"RENT",1,"MEDICAL","D",25,15.37,1,0.32,"Y",2,107
21,15,"OWN",0,"HOMEIMPROVEMENT","A",6.2,7.9,1,0.41,"N",2,108
23,78,"RENT",2,"VENTURE","D",25,16.32,1,0.32,"Y",3,109
25,66.3,"RENT",3,"MEDICAL","E",25,17.93,1,0.32,"Y",4,110
23,90,"RENT",0,"DEBTCONSOLIDATION","B",25,11.36,0,0.28,"N",3,111
24,91.8,"RENT",4,"PERSONAL","C",25,13.43,0,0.27,"Y",3,112
25,92,"RENT",6,"HOMEIMPROVEMENT","B",25,12.69,0,0.27,"N",3,113
24,92,"RENT",1,"VENTURE","C",25,12.73,0,0.27,"Y",4,114
23,93.6,"RENT",3,"VENTURE","D",25,15.21,0,0.27,"N",4,115
23,15,"MORTGAGE",1,"MEDICAL","C",1.75,12.68,0,0.12,"Y",3,116
23,70.55,"RENT",3,"MEDICAL","F",25,19.04,1,0.3,"Y",4,117
25,83.8,"RENT",2,"DEBTCONSOLIDATION","D",25,15.95,1,0.3,"Y",3,118
23,15,"OWN",4,"DEBTCONSOLIDATION","C",4,13.98,1,0.27,"N",4,119
23,15,"OWN",4,"VENTURE","B",4.6,10.99,1,0.31,"N",2,120
25,74.8,"RENT",2,"MEDICAL","B",25,10.99,1,0.28,"N",2,121
25,88,"RENT",0,"VENTURE","D",25,14.96,1,0.28,"N",4,122
25,15,"OWN",2,"HOMEIMPROVEMENT","D",1.75,15.31,0,0.12,"Y",4,123
26,88,"RENT",2,"VENTURE","D",25,15.65,1,0.28,"N",3,124
25,100,"RENT",1,"VENTURE","B",25,9.33,0,0.25,"N",4,125
23,15,"MORTGAGE",0,"PERSONAL","C",3.6,13.47,1,0.24,"N",4,126
24,92,"RENT",1,"HOMEIMPROVEMENT","E",25,16.77,1,0.27,"Y",4,127
23,93,"RENT",0,"DEBTCONSOLIDATION","D",25,14.59,1,0.27,"Y",2,128
21,15,"OWN",0,"HOMEIMPROVEMENT","C",3.175,11.54,1,0.21,"Y",3,129
25,96,"RENT",2,"HOMEIMPROVEMENT","E",25,15.68,1,0.26,"Y",4,130
21,15.12,"MORTGAGE",0,"EDUCATION","B",1.5,10.59,0,0.1,"N",2,131
26,110,"RENT",3,"PERSONAL","C",25,11.11,0,0.23,"Y",2,132
24,83.3,"RENT",0,"MEDICAL","D",25,11.11,1,0.26,"N",2,133
25,134.3,"RENT",3,"MEDICAL","D",5,16.49,1,0.03,"N",2,134
25,113,"RENT",7,"MEDICAL","C",25,12.73,0,0.22,"Y",4,135
25,120,"RENT",6,"MEDICAL","B",25,10.74,0,0.21,"N",2,136
24,91.8,"RENT",5,"MEDICAL","D",25,15.33,1,0.23,"Y",2,137
26,108,"RENT",2,"PERSONAL","D",25,15.05,1,0.23,"N",3,138
26,129.996,"RENT",6,"PERSONAL","B",25,10.75,0,0.19,"N",3,139
23,130,"RENT",4,"EDUCATION","D",25,16.02,0,0.19,"Y",2,140
24,133.3,"RENT",6,"DEBTCONSOLIDATION","B",25,10.37,0,0.19,"N",2,141
24,15.6,"OWN",5,"HOMEIMPROVEMENT","A",3.3,6.39,1,0.21,"N",4,142
25,134,"RENT",7,"MEDICAL","B",25,10.62,0,0.19,"N",2,143
25,15.6,"OWN",0,"VENTURE","F",3.2,18.09,1,0.21,"N",2,144
25,135,"RENT",5,"EDUCATION","B",25,11.36,0,0.19,"N",4,145
25,145,"RENT",0,"EDUCATION","B",25,9.99,0,0.17,"N",4,146
23,150,"RENT",4,"EDUCATION","B",25,10.36,0,0.17,"N",3,147
23,16,"MORTGAGE",3,"DEBTCONSOLIDATION","C",2.275,13.06,0,0.14,"Y",4,148
23,148,"RENT",1,"DEBTCONSOLIDATION","E",25,14.93,1,0.17,"N",3,149
23,16,"MORTGAGE",1,"MEDICAL","C",5.6,12.84,1,0.35,"N",4,150
24,16.02,"OWN",3,"VENTURE","E",3.625,17.14,1,0.23,"Y",2,151
22,16.094,"MORTGAGE",2,"VENTURE","A",5.5,7.14,1,0.34,"N",3,152
25,16.4,"OWN",1,"PERSONAL","A",5,8.94,1,0.3,"N",4,153
25,49.5,"RENT",6,"PERSONAL","C",24.75,14.22,1,0.5,"N",3,154
23,60,"RENT",4,"DEBTCONSOLIDATION","B",24.75,9.33,1,0.41,"N",3,155
25,125.8,"MORTGAGE",0,"MEDICAL","D",10,14.09,1,0.07,"N",4,156
25,54,"RENT",2,"PERSONAL","C",24.25,13.98,1,0.45,"N",4,157
23,62.5,"RENT",1,"EDUCATION","B",24.25,10.62,1,0.39,"N",4,158
26,56.045,"RENT",1,"MEDICAL","D",24.25,14.96,1,0.37,"N",2,159
24,89.908,"RENT",1,"VENTURE","B",24.25,12.53,0,0.27,"N",3,160
26,78,"RENT",0,"HOMEIMPROVEMENT","E",24.25,17.56,1,0.31,"Y",3,161
23,100,"RENT",0,"PERSONAL","C",24.25,12.87,0,0.24,"Y",2,162
22,16.8,"MORTGAGE",0,"HOMEIMPROVEMENT","C",4.75,13.85,1,0.28,"Y",2,163
25,115.2,"RENT",0,"HOMEIMPROVEMENT","B",24.25,11.36,0,0.21,"N",2,164
23,144,"RENT",0,"EDUCATION","B",24.25,11.83,0,0.17,"N",3,165
22,108,"RENT",1,"HOMEIMPROVEMENT","D",24.15,14.96,1,0.22,"Y",3,166
23,47.004,"RENT",1,"VENTURE","B",24,11.58,1,0.51,"N",4,167
24,48,"RENT",4,"VENTURE","D",24,16.29,1,0.5,"Y",2,168
26,48,"RENT",4,"MEDICAL","A",24,11.11,1,0.5,"N",3,169
21,44.964,"RENT",2,"EDUCATION","D",24,16.29,1,0.53,"Y",2,170
24,47,"RENT",3,"PERSONAL","F",24,17.8,1,0.51,"N",2,171
22,49,"RENT",2,"MEDICAL","E",24,17.56,1,0.49,"N",4,172
26,60,"RENT",0,"PERSONAL","A",24,7.9,1,0.4,"N",4,173
25,60,"RENT",3,"PERSONAL","B",24,10.99,1,0.4,"N",4,174
22,60,"RENT",0,"PERSONAL","A",24,7.29,1,0.4,"N",3,175
22,62.4,"RENT",3,"EDUCATION","D",24,14.84,1,0.38,"N",2,176
23,59,"RENT",5,"DEBTCONSOLIDATION","E",24,19.69,1,0.41,"Y",2,177
24,60,"RENT",0,"VENTURE","D",24,14.96,1,0.4,"N",4,178
22,62.25,"RENT",3,"PERSONAL","E",24,16.45,1,0.39,"Y",4,179
22,18,"OWN",3,"PERSONAL","A",3,7.9,1,0.17,"N",4,180
26,69,"RENT",0,"DEBTCONSOLIDATION","F",24,15.83,1,0.35,"N",3,181
23,78,"RENT",4,"PERSONAL","C",24,13.92,1,0.31,"N",3,182
24,80,"RENT",2,"MEDICAL","B",24,10.25,0,0.3,"N",2,183
22,18,"OWN",1,"HOMEIMPROVEMENT","A",3.5,7.49,1,0.19,"N",4,184
23,18,"OWN",3,"EDUCATION","A",4,5.99,1,0.22,"N",2,185
26,88.596,"RENT",3,"PERSONAL","B",24,11.58,0,0.27,"N",3,186
25,95,"RENT",4,"EDUCATION","A",24,8.9,0,0.25,"N",2,187
26,100,"RENT",5,"PERSONAL","C",24,12.73,0,0.24,"N",4,188
24,18,"OWN",0,"HOMEIMPROVEMENT","A",6.25,6.54,1,0.35,"N",4,189
26,103.872,"RENT",6,"DEBTCONSOLIDATION","G",24,20.03,1,0.23,"N",4,190
22,120,"RENT",4,"EDUCATION","B",24,9.91,0,0.2,"N",4,191
24,120,"RENT",1,"VENTURE","B",24,12.69,0,0.2,"N",4,192
24,124.08,"RENT",4,"PERSONAL","D",24,16.49,0,0.19,"Y",4,193
23,18,"MORTGAGE",1,"MEDICAL","D",2.5,15.95,1,0.14,"N",2,194
24,135,"RENT",4,"HOMEIMPROVEMENT","C",24,13.79,0,0.18,"N",2,195
23,114.75,"RENT",2,"MEDICAL","G",24,20.03,1,0.18,"Y",3,196
23,150,"RENT",0,"EDUCATION","A",24,7.49,0,0.16,"N",4,197
24,18,"OWN",6,"PERSONAL","A",13,7.88,1,0.72,"N",3,198
26,148,"RENT",1,"EDUCATION","F",24,18.3,1,0.16,"N",2,199
21,18,"OWN",1,"PERSONAL","B",2.5,11.36,0,0.14,"N",3,200
23,120,"RENT",4,"MEDICAL","C",23.75,13.47,0,0.2,"N",2,201
24,54.996,"RENT",2,"PERSONAL","B",23.6,11.89,1,0.43,"N",3,202
24,18,"MORTGAGE",0,"DEBTCONSOLIDATION","B",10,12.18,1,0.56,"N",2,203
23,75,"RENT",3,"PERSONAL","E",23.575,14.5,1,0.31,"N",4,204
22,18,"OWN",2,"MEDICAL","C",4,11.11,1,0.22,"N",2,205
22,18,"OWN",1,"MEDICAL","D",5.4,15.31,1,0.3,"Y",2,206
25,18,"MORTGAGE",1,"MEDICAL","B",4,11.11,1,0.22,"N",3,207
22,66.96,"RENT",1,"VENTURE","A",23.4,7.49,1,0.35,"N",2,208
25,56.544,"RENT",3,"EDUCATION","B",23,11.11,1,0.41,"N",2,209
23,60,"RENT",2,"VENTURE","B",23,12.18,1,0.38,"N",4,210
24,18,"MORTGAGE",3,"VENTURE","C",1.2,11.34,0,0.07,"Y",4,211
24,65,"RENT",0,"HOMEIMPROVEMENT","B",23,11.99,1,0.35,"N",4,212
22,18,"OWN",1,"DEBTCONSOLIDATION","B",3,9.96,1,0.17,"N",3,213
24,88,"RENT",1,"VENTURE","D",23,14.54,1,0.26,"N",2,214
24,18.287,"OWN",3,"HOMEIMPROVEMENT","B",3,11.99,1,0.16,"N",3,215
26,69.846,"RENT",2,"EDUCATION","F",22.5,18.99,1,0.32,"Y",2,216
24,73,"RENT",0,"VENTURE","E",22.4,16.7,1,0.31,"Y",4,217
23,35,"RENT",2,"DEBTCONSOLIDATION","B",22.25,12.69,1,0.64,"N",3,218
25,52,"RENT",4,"PERSONAL","B",22,10.74,1,0.42,"N",2,219
25,58,"RENT",0,"MEDICAL","C",22,14.65,1,0.38,"N",2,220
24,60,"RENT",3,"VENTURE","C",22,14.26,1,0.37,"Y",2,221
25,18.84,"MORTGAGE",5,"EDUCATION","B",3,9.91,1,0.16,"N",2,222
26,56,"RENT",7,"MEDICAL","E",22,17.19,1,0.39,"N",3,223
22,70,"RENT",3,"EDUCATION","B",22,11.36,1,0.31,"N",4,224
22,66,"RENT",1,"EDUCATION","F",22,11.11,1,0.33,"N",2,225
23,74.064,"RENT",3,"DEBTCONSOLIDATION","B",22,10.59,0,0.3,"N",3,226
24,76.597,"RENT",5,"EDUCATION","B",22,9.25,0,0.29,"N",2,227
26,77,"RENT",0,"VENTURE","A",22,6.54,0,0.29,"N",3,228
24,80,"RENT",0,"MEDICAL","A",22,11.11,0,0.28,"N",4,229
24,19,"OWN",3,"MEDICAL","C",7.4,13.85,1,0.39,"N",2,230
25,19,"OWN",3,"DEBTCONSOLIDATION","A",4,7.4,1,0.21,"N",3,231
23,84,"RENT",3,"DEBTCONSOLIDATION","B",22,11.71,0,0.26,"N",4,232
25,82,"RENT",1,"EDUCATION","E",22,17.51,1,0.27,"N",2,233
21,19.012,"MORTGAGE",0,"DEBTCONSOLIDATION","D",3.5,14.61,1,0.18,"N",3,234
23,99.996,"RENT",3,"DEBTCONSOLIDATION","A",22,7.88,0,0.22,"N",4,235
23,110,"RENT",0,"PERSONAL","B",22,11.11,0,0.2,"N",3,236
25,57,"RENT",4,"PERSONAL","B",21.7,11.99,1,0.38,"N",2,237
24,54,"RENT",5,"VENTURE","C",21.6,13.49,1,0.4,"N",2,238
26,63,"RENT",2,"DEBTCONSOLIDATION","C",21.6,14.35,1,0.34,"Y",3,239
22,82,"RENT",3,"PERSONAL","C",21.6,13.61,0,0.26,"Y",3,240
22,19.2,"OWN",0,"VENTURE","B",2.4,10.59,0,0.13,"N",3,241
25,19.2,"OWN",4,"EDUCATION","B",3,11.99,1,0.16,"N",4,242
24,59,"RENT",5,"MEDICAL","D",21.5,16.89,1,0.36,"N",3,243
24,70,"RENT",5,"HOMEIMPROVEMENT","B",21.5,9.99,1,0.31,"N",3,244
24,116,"RENT",5,"EDUCATION","D",21.5,15.33,0,0.19,"Y",3,245
25,60,"RENT",5,"EDUCATION","A",21.45,7.29,1,0.36,"N",4,246
25,47.052,"RENT",5,"VENTURE","B",21.25,10.99,1,0.45,"N",2,247
22,53,"RENT",3,"MEDICAL","B",21.25,10.25,1,0.4,"N",3,248
26,19.2,"OWN",0,"EDUCATION","B",9.25,11.11,1,0.48,"N",2,249
24,65,"RENT",4,"EDUCATION","D",21.25,15.95,1,0.33,"Y",4,250
26,40,"RENT",3,"MEDICAL","A",21,6.54,1,0.53,"N",4,251
25,19.2,"OWN",2,"VENTURE","B",1,11.11,0,0.05,"N",3,252
26,42,"RENT",0,"MEDICAL","F",21,17.26,1,0.5,"Y",4,253
23,63,"RENT",2,"MEDICAL","B",21,11.36,1,0.33,"N",2,254
26,19.2,"MORTGAGE",5,"VENTURE","A",4,7.51,1,0.21,"N",4,255
22,59,"RENT",2,"PERSONAL","B",21,10.71,1,0.36,"N",3,256
22,70.5,"RENT",3,"PERSONAL","C",21,13.98,0,0.3,"Y",4,257
22,75,"RENT",2,"EDUCATION","B",21,10,0,0.28,"N",3,258
22,19.2,"MORTGAGE",3,"MEDICAL","D",5,15.33,1,0.26,"N",3,259
23,80,"RENT",3,"MEDICAL","B",21,11.99,0,0.26,"N",3,260
26,85,"RENT",3,"HOMEIMPROVEMENT","C",21,13.92,0,0.25,"N",3,261
22,93,"RENT",1,"EDUCATION","B",21,9.91,0,0.23,"N",3,262
26,97,"RENT",1,"EDUCATION","A",21,7.9,0,0.22,"N",3,263
26,97,"RENT",3,"EDUCATION","C",21,11.11,0,0.22,"Y",3,264
25,100,"RENT",2,"PERSONAL","D",21,16.49,1,0.21,"Y",3,265
26,19.2,"OTHER",0,"PERSONAL","C",7.5,11.97,1,0.39,"Y",2,266
26,125,"RENT",5,"HOMEIMPROVEMENT","A",21,8.9,0,0.17,"N",2,267
23,82,"RENT",2,"PERSONAL","B",20.9,12.69,0,0.25,"N",2,268
21,19.5,"MORTGAGE",0,"EDUCATION","B",15,9.64,1,0.77,"N",2,269
26,50,"RENT",7,"VENTURE","A",20.5,7.49,1,0.41,"N",3,270
23,70,"RENT",2,"EDUCATION","C",20.5,13.16,0,0.29,"Y",3,271
22,19.8,"OWN",1,"EDUCATION","A",2.1,8.38,0,0.11,"N",4,272
24,33,"RENT",1,"DEBTCONSOLIDATION","B",20,10.99,1,0.61,"N",3,273
23,20,"OWN",0,"PERSONAL","B",5,11.71,0,0.25,"N",4,274
24,35.364,"RENT",1,"MEDICAL","B",20,12.53,1,0.57,"N",4,275
25,38,"RENT",4,"MEDICAL","D",20,14.59,1,0.53,"N",4,276
23,32,"RENT",3,"DEBTCONSOLIDATION","D",20,12.61,1,0.63,"N",4,277
25,38.004,"RENT",6,"MEDICAL","C",20,13.11,1,0.53,"N",2,278
23,20,"MORTGAGE",2,"MEDICAL","B",6.4,10.65,0,0.32,"N",4,279
23,32.9,"RENT",1,"EDUCATION","D",20,16,1,0.61,"N",2,280
24,40,"RENT",4,"PERSONAL","B",20,12.53,1,0.5,"N",3,281
26,20,"MORTGAGE",5,"MEDICAL","A",4.8,5.99,0,0.24,"N",3,282
25,42,"RENT",2,"EDUCATION","C",20,13.47,1,0.48,"N",4,283
25,20,"OWN",0,"PERSONAL","D",5.65,15.99,0,0.28,"Y",2,284
22,45,"RENT",0,"EDUCATION","A",20,7.9,1,0.44,"N",4,285
23,45,"RENT",4,"PERSONAL","B",20,10.25,1,0.44,"N",2,286
22,45,"RENT",1,"DEBTCONSOLIDATION","C",20,13.92,1,0.44,"Y",3,287
24,39,"RENT",5,"MEDICAL","D",20,14.74,1,0.51,"N",2,288
24,46.5,"RENT",5,"EDUCATION","B",20,10.62,1,0.43,"N",2,289
22,42,"RENT",1,"PERSONAL","D",20,12.99,1,0.48,"N",3,290
22,48.5,"RENT",1,"VENTURE","B",20,11.36,1,0.41,"N",4,291
22,20,"OWN",3,"EDUCATION","A",7.5,5.79,0,0.38,"N",4,292
23,49.4,"RENT",0,"EDUCATION","A",20,6.54,1,0.4,"N",4,293
25,20,"MORTGAGE",1,"VENTURE","A",4,5.79,0,0.2,"N",2,294
22,20,"OWN",1,"VENTURE","C",5,14.72,0,0.25,"N",3,295
22,44,"RENT",2,"EDUCATION","E",20,15.68,1,0.45,"N",4,296
24,50.866,"RENT",6,"MEDICAL","B",20,11.11,1,0.39,"N",3,297
25,50.95,"RENT",5,"HOMEIMPROVEMENT","B",20,11.48,1,0.39,"N",3,298
22,51,"RENT",0,"EDUCATION","C",20,13.47,1,0.39,"N",2,299
24,51.5,"RENT",6,"VENTURE","B",20,12.21,1,0.39,"N",4,300
25,52,"RENT",1,"EDUCATION","B",20,11.36,1,0.38,"N",4,301
22,46,"RENT",2,"DEBTCONSOLIDATION","D",20,16,1,0.43,"Y",4,302
26,20,"MORTGAGE",1,"PERSONAL","A",1.5,7.74,0,0.07,"N",3,303
22,54,"RENT",2,"EDUCATION","B",20,9.91,1,0.37,"N",4,304
23,48,"RENT",0,"MEDICAL","D",20,14.96,1,0.42,"N",3,305
23,54,"RENT",1,"VENTURE","B",20,11.83,1,0.37,"N",4,306
24,48.912,"RENT",0,"MEDICAL","C",20,11.66,1,0.41,"N",4,307
26,54.996,"RENT",8,"EDUCATION","B",20,12.18,1,0.36,"N",4,308
25,55,"RENT",3,"DEBTCONSOLIDATION","A",20,6.91,1,0.36,"N",3,309
26,49,"RENT",0,"HOMEIMPROVEMENT","F",20,19.79,1,0.41,"N",3,310
25,55,"RENT",0,"VENTURE","B",20,9.88,1,0.36,"N",4,311
22,20,"MORTGAGE",0,"PERSONAL","B",16.6,9.76,0,0.83,"N",3,312
23,55,"RENT",5,"DEBTCONSOLIDATION","B",20,12.53,1,0.36,"N",2,313
25,55.2,"RENT",7,"VENTURE","B",20,11.11,1,0.36,"N",4,314
23,57,"RENT",3,"EDUCATION","D",20,16.89,1,0.35,"N",2,315
22,51.012,"RENT",1,"PERSONAL","D",20,17.49,1,0.39,"Y",4,316
23,20.004,"MORTGAGE",2,"EDUCATION","E",2.5,16.82,0,0.12,"Y",2,317
26,20.004,"MORTGAGE",4,"HOMEIMPROVEMENT","B",3.6,11.11,0,0.18,"N",2,318
22,58,"RENT",0,"DEBTCONSOLIDATION","C",20,13.11,1,0.34,"N",2,319
